,date,val
0,2014-1-1,338
1,2014-2-1,339
2,2014-3-1,340
3,2014-4-1,341
4,2014-5-1,342
5,2014-6-1,343
6,2014-7-1,343
7,2014-8-1,344
8,2014-9-1,345
9,2014-10-1,346
10,2014-11-1,347
11,2014-12-1,347
12,2015-1-1,347
13,2015-2-1,349
14,2015-3-1,351
15,2015-4-1,353
16,2015-5-1,354
17,2015-6-1,357
18,2015-7-1,358
19,2015-8-1,359
20,2015-9-1,361
21,2015-10-1,362
22,2015-11-1,364
23,2015-12-1,366
24,2016-1-1,368
25,2016-2-1,371
26,2016-3-1,375
27,2016-4-1,378
28,2016-5-1,382
29,2016-6-1,389
30,2016-7-1,395
31,2016-8-1,403
32,2016-9-1,412
33,2016-10-1,418
34,2016-11-1,425
35,2016-12-1,429
36,2017-1-1,434
37,2017-2-1,430
38,2017-3-1,428
39,2017-4-1,423
40,2017-5-1,419
41,2017-6-1,413
42,2017-7-1,408
43,2017-8-1,404
44,2017-9-1,402
45,2017-10-1,399
46,2017-11-1,397
47,2017-12-1,394
48,2018-1-1,395
49,2018-2-1,393
50,2018-3-1,390
51,2018-4-1,388
52,2018-5-1,387
53,2018-6-1,385
54,2018-7-1,382
55,2018-8-1,381
56,2018-9-1,378
57,2018-10-1,375
58,2018-11-1,373
59,2018-12-1,372
60,2019-1-1,373
61,2019-2-1,379
62,2019-3-1,382
63,2019-4-1,391
64,2019-5-1,399
65,2019-6-1,404
66,2019-7-1,410
67,2019-8-1,419
68,2019-9-1,427
69,2019-10-1,436
70,2019-11-1,441
71,2019-12-1,445
72,2020-1-1,442
73,2020-2-1,466
74,2020-3-1,487
75,2020-4-1,504
76,2020-5-1,518
77,2020-6-1,528
78,2020-7-1,547
79,2020-8-1,573
80,2020-9-1,594
81,2020-10-1,606
82,2020-11-1,621
83,2020-12-1,644
84,2021-1-1,635
85,2021-2-1,634
86,2021-3-1,634
87,2021-4-1,633
88,2021-5-1,632
89,2021-6-1,631
90,2021-7-1,630
91,2021-8-1,629
92,2021-9-1,629
93,2021-10-1,628
94,2021-11-1,627
95,2021-12-1,627
